DB 0 MOTIF	1	MEME
 -93.0	0
 -92.0	0
 -91.0	0
 -90.0	0
 -89.0	0
 -88.0	0
 -87.0	0
 -86.0	0
 -85.0	0
 -84.0	0
 -83.0	0
 -82.0	0
 -81.0	0
 -80.0	0
 -79.0	0
 -78.0	0
 -77.0	1
 -76.0	1
 -75.0	0
 -74.0	0
 -73.0	0
 -72.0	0
 -71.0	0
 -70.0	0
 -69.0	0
 -68.0	0
 -67.0	0
 -66.0	0
 -65.0	0
 -64.0	0
 -63.0	0
 -62.0	0
 -61.0	0
 -60.0	0
 -59.0	0
 -58.0	1
 -57.0	0
 -56.0	0
 -55.0	0
 -54.0	0
 -53.0	0
 -52.0	0
 -51.0	0
 -50.0	0
 -49.0	0
 -48.0	0
 -47.0	0
 -46.0	0
 -45.0	0
 -44.0	0
 -43.0	1
 -42.0	2
 -41.0	1
 -40.0	0
 -39.0	0
 -38.0	0
 -37.0	1
 -36.0	0
 -35.0	1
 -34.0	0
 -33.0	0
 -32.0	0
 -31.0	3
 -30.0	2
 -29.0	2
 -28.0	1
 -27.0	0
 -26.0	1
 -25.0	0
 -24.0	1
 -23.0	1
 -22.0	3
 -21.0	4
 -20.0	2
 -19.0	2
 -18.0	2
 -17.0	6
 -16.0	7
 -15.0	6
 -14.0	7
 -13.0	5
 -12.0	6
 -11.0	15
 -10.0	13
  -9.0	18
  -8.0	17
  -7.0	10
  -6.0	15
  -5.0	13
  -4.0	16
  -3.0	24
  -2.0	18
  -1.0	21
   0.0	19
   1.0	18
   2.0	19
   3.0	18
   4.0	15
   5.0	14
   6.0	7
   7.0	12
   8.0	11
   9.0	13
  10.0	14
  11.0	8
  12.0	3
  13.0	6
  14.0	5
  15.0	5
  16.0	5
  17.0	4
  18.0	6
  19.0	8
  20.0	2
  21.0	3
  22.0	1
  23.0	1
  24.0	3
  25.0	0
  26.0	2
  27.0	1
  28.0	1
  29.0	1
  30.0	1
  31.0	1
  32.0	0
  33.0	0
  34.0	1
  35.0	0
  36.0	0
  37.0	0
  38.0	1
  39.0	0
  40.0	0
  41.0	1
  42.0	0
  43.0	1
  44.0	0
  45.0	0
  46.0	1
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	1
  59.0	0
  60.0	0
  61.0	1
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	2
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	1
  80.0	1
  81.0	0
  82.0	0
  83.0	1
  84.0	0
  85.0	0
  86.0	0
  87.0	1
  88.0	0
  89.0	0
  90.0	0
  91.0	0
  92.0	0
  93.0	0
DB 0 MOTIF	2	MEME
 -90.0	4
 -89.0	2
 -88.0	3
 -87.0	1
 -86.0	4
 -85.0	0
 -84.0	1
 -83.0	2
 -82.0	0
 -81.0	2
 -80.0	1
 -79.0	1
 -78.0	1
 -77.0	4
 -76.0	4
 -75.0	1
 -74.0	4
 -73.0	3
 -72.0	2
 -71.0	1
 -70.0	2
 -69.0	1
 -68.0	5
 -67.0	1
 -66.0	1
 -65.0	4
 -64.0	4
 -63.0	0
 -62.0	2
 -61.0	1
 -60.0	1
 -59.0	1
 -58.0	3
 -57.0	1
 -56.0	1
 -55.0	0
 -54.0	0
 -53.0	2
 -52.0	2
 -51.0	0
 -50.0	1
 -49.0	0
 -48.0	1
 -47.0	1
 -46.0	0
 -45.0	2
 -44.0	1
 -43.0	0
 -42.0	4
 -41.0	0
 -40.0	2
 -39.0	1
 -38.0	0
 -37.0	1
 -36.0	0
 -35.0	1
 -34.0	3
 -33.0	1
 -32.0	1
 -31.0	2
 -30.0	2
 -29.0	3
 -28.0	3
 -27.0	1
 -26.0	0
 -25.0	0
 -24.0	0
 -23.0	0
 -22.0	0
 -21.0	0
 -20.0	1
 -19.0	0
 -18.0	3
 -17.0	0
 -16.0	0
 -15.0	0
 -14.0	0
 -13.0	0
 -12.0	1
 -11.0	1
 -10.0	0
  -9.0	0
  -8.0	1
  -7.0	0
  -6.0	1
  -5.0	0
  -4.0	0
  -3.0	0
  -2.0	0
  -1.0	0
   0.0	0
   1.0	0
   2.0	0
   3.0	0
   4.0	0
   5.0	0
   6.0	0
   7.0	0
   8.0	1
   9.0	1
  10.0	0
  11.0	1
  12.0	0
  13.0	2
  14.0	1
  15.0	0
  16.0	0
  17.0	0
  18.0	1
  19.0	0
  20.0	1
  21.0	1
  22.0	0
  23.0	1
  24.0	0
  25.0	2
  26.0	0
  27.0	1
  28.0	1
  29.0	2
  30.0	0
  31.0	1
  32.0	1
  33.0	1
  34.0	1
  35.0	0
  36.0	0
  37.0	1
  38.0	1
  39.0	0
  40.0	1
  41.0	2
  42.0	0
  43.0	1
  44.0	2
  45.0	3
  46.0	0
  47.0	0
  48.0	3
  49.0	1
  50.0	2
  51.0	1
  52.0	0
  53.0	1
  54.0	2
  55.0	2
  56.0	1
  57.0	0
  58.0	1
  59.0	1
  60.0	2
  61.0	2
  62.0	2
  63.0	0
  64.0	2
  65.0	1
  66.0	3
  67.0	1
  68.0	0
  69.0	2
  70.0	3
  71.0	4
  72.0	1
  73.0	5
  74.0	1
  75.0	3
  76.0	3
  77.0	0
  78.0	2
  79.0	1
  80.0	1
  81.0	1
  82.0	3
  83.0	3
  84.0	5
  85.0	4
  86.0	1
  87.0	3
  88.0	1
  89.0	2
  90.0	3
DB 0 MOTIF	3	MEME
 -93.0	3
 -92.0	4
 -91.0	3
 -90.0	3
 -89.0	3
 -88.0	1
 -87.0	1
 -86.0	1
 -85.0	2
 -84.0	3
 -83.0	2
 -82.0	3
 -81.0	4
 -80.0	4
 -79.0	1
 -78.0	2
 -77.0	1
 -76.0	1
 -75.0	2
 -74.0	2
 -73.0	3
 -72.0	2
 -71.0	1
 -70.0	0
 -69.0	5
 -68.0	3
 -67.0	2
 -66.0	1
 -65.0	1
 -64.0	1
 -63.0	2
 -62.0	2
 -61.0	3
 -60.0	5
 -59.0	1
 -58.0	1
 -57.0	1
 -56.0	1
 -55.0	0
 -54.0	5
 -53.0	3
 -52.0	0
 -51.0	2
 -50.0	1
 -49.0	1
 -48.0	4
 -47.0	3
 -46.0	1
 -45.0	1
 -44.0	1
 -43.0	1
 -42.0	3
 -41.0	0
 -40.0	1
 -39.0	2
 -38.0	0
 -37.0	0
 -36.0	0
 -35.0	2
 -34.0	0
 -33.0	0
 -32.0	0
 -31.0	5
 -30.0	3
 -29.0	2
 -28.0	2
 -27.0	2
 -26.0	1
 -25.0	1
 -24.0	3
 -23.0	0
 -22.0	1
 -21.0	0
 -20.0	0
 -19.0	1
 -18.0	1
 -17.0	2
 -16.0	2
 -15.0	0
 -14.0	0
 -13.0	2
 -12.0	0
 -11.0	0
 -10.0	1
  -9.0	2
  -8.0	1
  -7.0	0
  -6.0	0
  -5.0	0
  -4.0	1
  -3.0	2
  -2.0	1
  -1.0	2
   0.0	1
   1.0	0
   2.0	1
   3.0	0
   4.0	2
   5.0	5
   6.0	1
   7.0	1
   8.0	2
   9.0	1
  10.0	2
  11.0	1
  12.0	4
  13.0	1
  14.0	2
  15.0	2
  16.0	1
  17.0	1
  18.0	2
  19.0	1
  20.0	0
  21.0	1
  22.0	1
  23.0	0
  24.0	3
  25.0	2
  26.0	1
  27.0	0
  28.0	1
  29.0	0
  30.0	2
  31.0	1
  32.0	2
  33.0	5
  34.0	0
  35.0	1
  36.0	4
  37.0	3
  38.0	1
  39.0	4
  40.0	1
  41.0	1
  42.0	1
  43.0	5
  44.0	3
  45.0	2
  46.0	1
  47.0	2
  48.0	2
  49.0	0
  50.0	0
  51.0	0
  52.0	2
  53.0	1
  54.0	1
  55.0	2
  56.0	0
  57.0	0
  58.0	3
  59.0	2
  60.0	1
  61.0	2
  62.0	1
  63.0	1
  64.0	3
  65.0	3
  66.0	4
  67.0	2
  68.0	3
  69.0	1
  70.0	2
  71.0	3
  72.0	1
  73.0	2
  74.0	1
  75.0	1
  76.0	0
  77.0	0
  78.0	1
  79.0	1
  80.0	2
  81.0	1
  82.0	2
  83.0	0
  84.0	2
  85.0	1
  86.0	0
  87.0	3
  88.0	1
  89.0	3
  90.0	1
  91.0	1
  92.0	5
  93.0	1
